m.id,n.id
G_61,O_033
G_61,O_023
G_62,O_023
G_63,O_002
G_65,O_023
G_65,O_005
G_66,O_033
G_66,O_023
G_66,O_001
G_66,O_014
G_66,O_015
G_66,O_005
G_67,O_028
G_67,O_023
G_68,O_033
G_68,O_036
G_68,O_028
G_68,O_023
G_69,O_023
G_72,O_002
G_73,O_033
G_73,O_023
G_74,O_014
G_76,O_039
G_76,O_033
G_76,O_028
G_76,O_023
G_76,O_015
G_76,O_009
G_77,O_028
G_77,O_015
G_79,O_033
G_81,O_033
G_81,O_023
G_82,O_023
G_82,O_014
G_83,O_033
G_84,O_033
G_84,O_028
G_84,O_023
G_86,O_023
G_87,O_033
G_87,O_032
G_87,O_023
G_88,O_040
G_88,O_033
G_88,O_023
G_89-2,O_002
G_90,O_023
G_92,O_023
G_92,O_005
G_94,O_028
G_95,O_029
G_95,O_017
G_95,O_022
G_95,O_012
G_96,O_042
G_96,O_033
G_96,O_022
G_96,O_015
G_97,O_033
G_97,O_029
G_97,O_023
G_97,O_009
G_98,O_023
G_103,O_033
G_104,O_023
G_106,O_029
G_106,O_032
G_106,O_023
G_106,O_006
G_108,O_023
G_109,O_023
G_110,O_027
G_110,O_002
G_111,O_042
G_111,O_002
G_112,O_002
G_113,O_001
G_114,O_029
G_114,O_033
G_114,O_009
G_115,O_023
G_115,O_017
G_115,O_005
G_117,O_029
G_117,O_028
G_117,O_023
G_117,O_022
G_118,O_032
G_118,O_023
G_119,O_023
G_119,O_022
G_119,O_015
G_119,O_005
G_120,O_028
G_120,O_023
G_120,O_015
G_120,O_014
G_121,O_033
G_121,O_028
G_121,O_023
G_122,O_002
G_123,O_023
G_124,O_033
G_124,O_023
G_125,O_023
G_126,O_023
G_126,O_022
G_127,O_032
G_127,O_020
G_128,O_033
G_128,O_009
G_128,O_005
G_129,O_002
G_129,O_004
G_132,O_023
G_133,O_023
G_137,O_039
G_137,O_033
G_137,O_023
G_138,O_023
G_139,O_039
G_139,O_023
G_139,O_028
G_140,O_029
G_140,O_023
G_140,O_022
G_140,O_009
G_141,O_030
G_141,O_022
G_141,O_012
G_141,O_005
G_143,O_032
G_143,O_022
G_143,O_020
