m.id,n.id
G_144,O_029
G_144,O_023
G_144,O_022
G_145,O_023
G_149,O_029
G_152,O_028
G_152,O_023
G_152,O_015
G_152,O_005
G_153,O_029
G_153,O_023
G_154,O_033
G_154,O_023
G_154,O_002
G_154,O_014
G_156,O_046
G_156,O_033
G_159,O_023
G_160,O_033
G_160,O_023
G_160,O_005
G_162,O_033
G_162,O_029
G_163,O_023
G_173,O_023
G_173,O_005
G_176,O_028
G_176,O_023
G_179,O_023
G_180,O_023
G_182,O_005
G_184,O_043
G_184,O_023
G_184,O_022
G_184,O_005
G_186,O_029
G_187,O_029
G_189,O_023
G_190,O_029
G_191,O_033
G_191,O_029
G_191,O_023
G_193,O_028
G_195,O_023
G_195,O_028
G_195,O_009
G_196,O_023
G_196,O_015
G_199,O_029
G_199,O_023
G_199,O_022
G_200,O_002
G_200,O_018
G_201,O_028
G_201,O_002
G_202,O_023
G_202,O_009
G_205,O_028
G_205,O_005
G_209,O_023
G_209,O_007
G_210,O_023
G_211,O_023
G_213,O_023
G_216,O_014
G_217,O_029
G_217,O_028
G_217,O_023
G_217,O_002
G_217,O_015
G_217,O_021
G_217,O_005
G_219,O_023
G_220,O_024
G_220,O_011
G_220,O_009
G_221,O_023
G_221,O_009
G_223,O_023
G_225,O_022
G_229,O_023
G_230,O_043
G_230,O_029
G_230,O_009
G_232,O_035
G_232,O_031
G_232,O_028
G_232,O_023
G_232,O_002
G_232,O_015
G_232,O_014
G_232,O_009
G_232,O_005
G_233,O_028
G_235,O_023
G_236,O_029
G_236,O_023
G_237,O_029
G_238,O_028
G_238,O_023
G_238,O_002
G_242,O_023
G_243,O_021
G_243,O_009
G_245,O_032
G_245,O_020
G_247,O_040
G_247,O_033
G_247,O_019
G_247,O_022
G_247,O_007
G_247,O_009
G_250,O_033
G_250,O_028
