m.id,n.id
G_2,O_020
G_2,O_022
G_3,O_045
G_3,O_033
G_3,O_029
G_3,O_023
G_3,O_002
G_7,O_042
G_7,O_033
G_7,O_035
G_7,O_028
G_7,O_023
G_7,O_015
G_7,O_014
G_8,O_033
G_8,O_022
G_8,O_009
G_12,O_028
G_12,O_023
G_13,O_046
G_13,O_023
G_13,O_028
G_14,O_023
G_16,O_033
G_16,O_023
G_16,O_002
G_16,O_009
G_17,O_022
G_18,O_039
G_19,O_023
G_20,O_023
G_20,O_022
G_21,O_039
G_21,O_023
G_22,O_042
G_22,O_033
G_22,O_028
G_22,O_023
G_22,O_022
G_22,O_015
G_23,O_032
G_23,O_023
G_24,O_027
G_24,O_002
G_26,O_039
G_26,O_033
G_26,O_034
G_26,O_023
G_26,O_015
G_26,O_009
G_26,O_005
G_27,O_039
G_27,O_033
G_27,O_028
G_27,O_023
G_31,O_029
G_31,O_033
G_35,O_009
G_36,O_023
G_36,O_002
G_36,O_022
G_40,O_039
G_40,O_033
G_40,O_023
G_40,O_014
G_41,O_028
G_42,O_051
G_42,O_023
G_43,O_042
G_43,O_033
G_45,O_032
G_45,O_022
G_46,O_027
G_46,O_002
G_46,O_023
G_46,O_020
G_49,O_023
G_52,O_028
G_53,O_002
G_55,O_002
G_57,O_020
G_57,O_022
G_59,O_039
G_59,O_033
G_59,O_035
G_59,O_036
G_59,O_034
G_59,O_023
G_59,O_021
G_59,O_015
