id,name
O_001,Abschlag
O_002,Arm- bzw. Fußring
O_003,Becher
O_004,Beil
O_005,Blech
O_006,Draht
O_007,Eisenoxyd
O_008,Feuerbock
O_009,Fragment
O_010,Gefäß
O_011,Gehängezwischenstücke
O_012,Geräte
O_013,Großgefäß
O_014,Gürtel
O_015,Klammer
O_016,Klinge
O_017,Knebel
O_018,Knolle
O_019,Knopf
O_020,Lanzenspitze
O_021,Lehm
O_022,Messer
O_023,Nadel
O_024,Nagel
O_025,Napf
O_026,Näpfchen
O_027,Ösenhalsring
O_028,Perle
O_029,Pfeilspitze
O_030,Pfriem
O_031,Phalere
O_032,Rasiermesser
O_033,Ring
O_034,Röhrchen
O_035,Röllchen
O_036,Schädelrondel
O_037,Schälchen
O_038,Schale
O_039,Schaukelring
O_040,Scheibe
O_041,Scherben
O_042,Schlacke
O_043,Schleifstein
O_044,Schüssel
O_045,Schwert
O_046,Splitter
O_047,Tasse
O_048,Teller
O_049,Topf
O_050,Töpfchen
O_051,Tülle
O_052,Urne
O_053,Tierknochen
